algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json
prism_cc_cost,real_network_stress_cluster_homo,1,t0|t1|t5|t7,0.000000,44.429000,0.000000,0.000000,53.314800,0.000000,0.000000,true,0.001000,3,24.883000,"{""bora001"":8}","{""bora001"":0.051146,""bora002"":0,""bora003"":0,""bora004"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":44.429,""deadline_violation"":0,""machine_signature"":""73b7b477f63b5d1a"",""weighted_score"":0,""diversity_score"":0}]"
prism_cc_time,real_network_stress_cluster_homo,1,t0|t1|t5|t7,0.000000,44.429000,0.000000,0.000000,53.314800,0.000000,0.000000,true,0.001000,3,24.883000,"{""bora001"":8}","{""bora001"":0.051146,""bora002"":0,""bora003"":0,""bora004"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":44.429,""deadline_violation"":0,""machine_signature"":""73b7b477f63b5d1a"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,real_network_stress_hybrid_hetero,1,t0|t1|t5|t7,0.000000,44.429000,0.000000,0.000000,53.314800,0.000000,0.000000,true,0.001000,3,0.295000,"{""bora011"":8}","{""bora011"":0.051146,""diablo03"":0,""h3-standard-88-2"":0,""h4d-standard-192-7"":0}",[]
prism_cc_cost,real_network_stress_hybrid_hetero,1,t0|t1|t5|t7,0.000000,44.429000,0.000000,0.000000,53.314800,0.000000,0.000000,true,0.001000,3,44.414000,"{""bora011"":8}","{""bora011"":0.051146,""diablo03"":0,""h3-standard-88-2"":0,""h4d-standard-192-7"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":44.429,""deadline_violation"":0,""machine_signature"":""484dc189f1319da3"",""weighted_score"":0,""diversity_score"":0}]"
prism_cc_time,real_network_stress_hybrid_hetero,1,t0|t1|t5|t7,0.000000,44.429000,0.000000,0.000000,53.314800,0.000000,0.000000,true,0.001000,3,44.414000,"{""bora011"":8}","{""bora011"":0.051146,""diablo03"":0,""h3-standard-88-2"":0,""h4d-standard-192-7"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":44.429,""deadline_violation"":0,""machine_signature"":""484dc189f1319da3"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,real_network_stress_hybrid_homo,1,t0|t1|t5|t7,0.000000,44.429000,0.000000,0.000000,53.314800,0.000000,0.000000,true,0.001000,3,0.598000,"{""bora009"":8}","{""bora009"":0.051146,""bora010"":0,""h4d-standard-192-5"":0,""h4d-standard-192-6"":0}",[]
prism_cc_cost,real_network_stress_hybrid_homo,1,t0|t1|t5|t7,0.000000,44.429000,0.000000,0.000000,53.314800,0.000000,0.000000,true,0.001000,3,28.153000,"{""bora009"":8}","{""bora009"":0.051146,""bora010"":0,""h4d-standard-192-5"":0,""h4d-standard-192-6"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":44.429,""deadline_violation"":0,""machine_signature"":""4b71090d211bb9b2"",""weighted_score"":0,""diversity_score"":0}]"
prism_cc_time,real_network_stress_hybrid_homo,1,t0|t1|t5|t7,0.000000,44.429000,0.000000,0.000000,53.314800,0.000000,0.000000,true,0.001000,3,28.153000,"{""bora009"":8}","{""bora009"":0.051146,""bora010"":0,""h4d-standard-192-5"":0,""h4d-standard-192-6"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":44.429,""deadline_violation"":0,""machine_signature"":""4b71090d211bb9b2"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,real_network_stress_hybrid_raspberry_500mbps,1,t0|t1|t5|t7,0.000000,26.250000,0.004740,0.005688,31.500000,0.000000,0.000000,true,0.001000,3,0.234000,"{""hpc-node-02"":8}","{""cloud-node-01"":0,""cloud-node-02"":0,""hpc-node-01"":0,""hpc-node-02"":0.05754,""rpi-edge-01"":0,""rpi-edge-02"":0,""rpi-edge-03"":0,""rpi-edge-04"":0,""rpi-edge-05"":0,""rpi-edge-06"":0,""rpi-edge-07"":0,""rpi-edge-08"":0,""rpi-edge-09"":0,""rpi-edge-10"":0}",[]
prism_cc_cost,real_network_stress_hybrid_raspberry_500mbps,1,t0|t1|t5|t7,0.000000,26.250000,0.004740,0.005688,31.500000,0.000000,0.000000,true,0.001000,3,13.866000,"{""hpc-node-02"":8}","{""cloud-node-01"":0,""cloud-node-02"":0,""hpc-node-01"":0,""hpc-node-02"":0.05754,""rpi-edge-01"":0,""rpi-edge-02"":0,""rpi-edge-03"":0,""rpi-edge-04"":0,""rpi-edge-05"":0,""rpi-edge-06"":0,""rpi-edge-07"":0,""rpi-edge-08"":0,""rpi-edge-09"":0,""rpi-edge-10"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.00474,""budget_violation"":0,""makespan"":26.25,""deadline_violation"":0,""machine_signature"":""c1d18bd4cd97ce16"",""weighted_score"":0.00474,""diversity_score"":0}]"
prism_cc_time,real_network_stress_hybrid_raspberry_500mbps,1,t0|t1|t5|t7,0.000000,26.250000,0.004740,0.005688,31.500000,0.000000,0.000000,true,0.001000,3,13.866000,"{""hpc-node-02"":8}","{""cloud-node-01"":0,""cloud-node-02"":0,""hpc-node-01"":0,""hpc-node-02"":0.05754,""rpi-edge-01"":0,""rpi-edge-02"":0,""rpi-edge-03"":0,""rpi-edge-04"":0,""rpi-edge-05"":0,""rpi-edge-06"":0,""rpi-edge-07"":0,""rpi-edge-08"":0,""rpi-edge-09"":0,""rpi-edge-10"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.00474,""budget_violation"":0,""makespan"":26.25,""deadline_violation"":0,""machine_signature"":""c1d18bd4cd97ce16"",""weighted_score"":1,""diversity_score"":0}]"
