scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
cloud_hetero,heft_classic,30,172.43643333333333,172.64749999999998,5.564822627426019,1.9913462026168463,9.2690617,9.2688045,0.08102968878054782,0.02899610173684982
cloud_hetero,prism_cc_cost,30,193.99560000000005,194.046,6.038698544417069,2.1609205216905494,4.979440733333333,4.917417,0.24341742979696612,0.08710580856395596
cloud_hetero,prism_cc_time,30,172.44709999999995,172.654,5.568961906297536,1.992827424537873,9.259561,9.2557845,0.0820124218013596,0.029347768231938975
cloud_homo,heft_classic,30,138.95963333333336,139.0155,4.183880927983044,1.4971825619523473,10.112735433333334,10.100269,0.05061853109061204,0.018113608719988464
cloud_homo,prism_cc_cost,30,154.25226666666669,153.67149999999998,5.2967837797285435,1.8954297328114014,5.334869633333333,5.349174,0.09590158319626733,0.03431794080580861
cloud_homo,prism_cc_time,30,138.9785,139.1845,4.184685121841967,1.4974703390288784,10.109034599999998,10.0982895,0.049295857997366854,0.01764029623226312
cluster_hetero,heft_classic,30,661.4608333333331,655.354,29.95336691924383,10.71867469346726,0.0,0.0,0.0,0.0
cluster_hetero,prism_cc_cost,30,661.4608333333331,655.354,29.95336691924383,10.71867469346726,0.0,0.0,0.0,0.0
cluster_hetero,prism_cc_time,30,661.4608333333331,655.354,29.95336691924383,10.71867469346726,0.0,0.0,0.0,0.0
cluster_homo,heft_classic,30,667.2764999999999,666.981,27.075315337100832,9.688777161641202,0.0,0.0,0.0,0.0
cluster_homo,prism_cc_cost,30,667.2764999999999,666.981,27.075315337100832,9.688777161641202,0.0,0.0,0.0,0.0
cluster_homo,prism_cc_time,30,667.2764999999999,666.981,27.075315337100832,9.688777161641202,0.0,0.0,0.0,0.0
hybrid_hetero,heft_classic,30,248.49353333333337,247.9805,9.73102282157549,3.482201795223317,3.631008,3.632587,0.07382568163563086,0.026418180887952874
hybrid_hetero,prism_cc_cost,30,276.0984333333334,273.16499999999996,15.821793168968211,5.661755972299023,3.2734851000000007,3.4486125,0.46271590801360146,0.16558076114988285
hybrid_hetero,prism_cc_time,30,248.49913333333333,247.997,9.727860276947654,3.4810700931625522,3.6219951999999997,3.630553,0.07380012434640491,0.026409035329458617
hybrid_homo,heft_classic,30,204.71476666666663,204.5815,7.450471457812466,2.666116970574961,5.6071440333333324,5.622996499999999,0.05671682782365531,0.02029585617957973
hybrid_homo,prism_cc_cost,30,231.03233333333336,231.6095,7.97272059018723,2.8530014224618787,4.849568733333332,4.999553,0.5722434038765946,0.20477467218201004
hybrid_homo,prism_cc_time,30,204.70346666666666,204.5605,7.464715925182833,2.671214287759246,5.583248200000001,5.5935125,0.06285514613030552,0.022492425175356563
hybrid_raspberry_500mbps,heft_classic,30,477.8254666666667,478.02200000000005,15.964158015818523,5.71270057846927,29.438438733333328,29.4536475,0.29032266035068466,0.10389062975226737
hybrid_raspberry_500mbps,prism_cc_cost,30,515.7814,516.7125,36.402581980801386,13.026496664179794,21.570855166666664,22.4077815,7.571318059129167,2.709361371473768
hybrid_raspberry_500mbps,prism_cc_time,30,477.4386666666667,477.31449999999995,16.05596468248038,5.745553172212507,29.178307333333336,29.200280499999998,0.2942207619305414,0.10528554748786698
