algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json
prism_cc_cost,network_hpc_cloud,1,t0|t1|t5|t7,0.000000,26.250000,0.000000,0.000000,31.500000,0.000000,0.000000,true,0.001000,3,22.550000,"{""hpc-hybrid-02"":8}","{""cloud-hybrid-01"":0,""cloud-hybrid-02"":0,""hpc-hybrid-01"":0,""hpc-hybrid-02"":0.03836}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":26.25,""deadline_violation"":0,""machine_signature"":""bc59db3525e58c51"",""weighted_score"":0,""diversity_score"":0}]"
prism_cc_time,network_hpc_cloud,1,t0|t1|t5|t7,0.000000,26.250000,0.000000,0.000000,31.500000,0.000000,0.000000,true,0.001000,3,22.550000,"{""hpc-hybrid-02"":8}","{""cloud-hybrid-01"":0,""cloud-hybrid-02"":0,""hpc-hybrid-01"":0,""hpc-hybrid-02"":0.03836}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":26.25,""deadline_violation"":0,""machine_signature"":""bc59db3525e58c51"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,network_hpc_local,1,t0|t1|t5|t7,0.000000,39.375000,0.000000,0.000000,47.250000,0.000000,0.000000,true,0.000000,3,0.195000,"{""hpc-local-01"":8}","{""hpc-local-01"":0.03836,""hpc-local-02"":0,""hpc-local-03"":0,""hpc-local-04"":0}",[]
prism_cc_cost,network_hpc_local,1,t0|t1|t5|t7,0.000000,39.375000,0.000000,0.000000,47.250000,0.000000,0.000000,true,0.000000,3,8.546000,"{""hpc-local-01"":8}","{""hpc-local-01"":0.03836,""hpc-local-02"":0,""hpc-local-03"":0,""hpc-local-04"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":39.375,""deadline_violation"":0,""machine_signature"":""77df41f13d99247f"",""weighted_score"":0,""diversity_score"":0}]"
prism_cc_time,network_hpc_local,1,t0|t1|t5|t7,0.000000,39.375000,0.000000,0.000000,47.250000,0.000000,0.000000,true,0.000000,3,8.546000,"{""hpc-local-01"":8}","{""hpc-local-01"":0.03836,""hpc-local-02"":0,""hpc-local-03"":0,""hpc-local-04"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":39.375,""deadline_violation"":0,""machine_signature"":""77df41f13d99247f"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,network_hpc_multisite,1,t0|t1|t5|t7,0.000000,39.375000,0.000000,0.000000,47.250000,0.000000,0.000000,true,0.000000,3,0.157000,"{""hpc-a-01"":8}","{""hpc-a-01"":0.03836,""hpc-a-02"":0,""hpc-b-01"":0,""hpc-b-02"":0}",[]
prism_cc_cost,network_hpc_multisite,1,t0|t1|t5|t7,0.000000,39.375000,0.000000,0.000000,47.250000,0.000000,0.000000,true,0.000000,3,22.879000,"{""hpc-a-01"":8}","{""hpc-a-01"":0.03836,""hpc-a-02"":0,""hpc-b-01"":0,""hpc-b-02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":39.375,""deadline_violation"":0,""machine_signature"":""300d9b9dd9978317"",""weighted_score"":0,""diversity_score"":0}]"
prism_cc_time,network_hpc_multisite,1,t0|t1|t5|t7,0.000000,39.375000,0.000000,0.000000,47.250000,0.000000,0.000000,true,0.000000,3,22.879000,"{""hpc-a-01"":8}","{""hpc-a-01"":0.03836,""hpc-a-02"":0,""hpc-b-01"":0,""hpc-b-02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":39.375,""deadline_violation"":0,""machine_signature"":""300d9b9dd9978317"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,network_wfcommons_overlay,1,t0|t1|t5|t7,0.000000,133.269000,0.000000,0.000000,159.922800,0.000000,0.000000,true,0.001000,3,0.210000,"{""compute-3"":8}","{""compute-3"":0.03836,""compute-4"":0,""compute-5"":0,""compute-6"":0,""compute-7"":0}",[]
prism_cc_cost,network_wfcommons_overlay,1,t0|t1|t5|t7,0.000000,133.269000,0.000000,0.000000,159.922800,0.000000,0.000000,true,0.001000,3,12.491000,"{""compute-3"":8}","{""compute-3"":0.03836,""compute-4"":0,""compute-5"":0,""compute-6"":0,""compute-7"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":133.269,""deadline_violation"":0,""machine_signature"":""41c7fbfc4e981d0c"",""weighted_score"":0,""diversity_score"":0}]"
prism_cc_time,network_wfcommons_overlay,1,t0|t1|t5|t7,0.000000,133.269000,0.000000,0.000000,159.922800,0.000000,0.000000,true,0.001000,3,12.491000,"{""compute-3"":8}","{""compute-3"":0.03836,""compute-4"":0,""compute-5"":0,""compute-6"":0,""compute-7"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":133.269,""deadline_violation"":0,""machine_signature"":""41c7fbfc4e981d0c"",""weighted_score"":1,""diversity_score"":0}]"
