scenario_id,algorithm,runs,feasible_ratio,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,beam_time,30,0.000000,305.637133,311.833000,9.842707,3.522167,0.000000,0.000000,0.000000,0.000000,77.811267,668.457433,-4.319067,0.000000
cluster_homo,beam_cost,30,0.000000,305.637133,311.833000,9.842707,3.522167,0.000000,0.000000,0.000000,0.000000,77.811267,667.226900,-4.319067,0.000000
cluster_homo,heft,30,0.000000,292.983000,292.983000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.063433,1.497800,0.000000,0.000000
cluster_hetero,beam_time,30,0.000000,322.572500,324.986000,19.084012,6.829126,0.000000,0.000000,0.000000,0.000000,81.615633,726.476567,-7.543082,0.000000
cluster_hetero,beam_cost,30,0.000000,322.572500,324.986000,19.084012,6.829126,0.000000,0.000000,0.000000,0.000000,81.615633,727.295667,-7.543082,0.000000
cluster_hetero,heft,30,0.000000,299.947233,293.451000,9.399412,3.363537,0.000000,0.000000,0.000000,0.000000,71.620033,1.243267,0.000000,0.000000
cloud_homo,beam_time,30,1.000000,128.445600,121.186000,17.046182,6.099898,0.391849,0.409051,0.061965,0.022174,81.463400,1011.728267,-28.210974,67.312395
cloud_homo,beam_cost,30,1.000000,137.285833,145.232000,15.814422,5.659118,0.330201,0.334075,0.053191,0.019034,109.745667,1020.653600,-37.035059,72.454946
cloud_homo,heft,30,0.000000,100.183000,100.183000,0.000000,0.000000,1.198768,1.197808,0.012301,0.004402,7.420367,3.500333,0.000000,0.000000
cloud_hetero,beam_time,30,0.800000,140.287100,131.119000,20.569639,7.360751,0.455212,0.461885,0.049910,0.017860,80.105000,972.218800,-29.540865,45.636170
cloud_hetero,beam_cost,30,0.800000,152.719367,161.174500,16.507296,5.907060,0.400827,0.395545,0.075076,0.026866,104.099500,972.551233,-41.020798,52.131216
cloud_hetero,heft,30,0.000000,108.295633,107.731000,3.080211,1.102239,0.837344,0.800458,0.087994,0.031488,25.629633,3.145367,0.000000,0.000000
hybrid_homo,beam_time,30,1.000000,119.684467,122.451500,5.543170,1.983598,0.436345,0.478871,0.073519,0.026308,39.771033,946.671600,-10.507347,22.328971
hybrid_homo,beam_cost,30,1.000000,142.721967,143.405500,16.198512,5.796563,0.188065,0.200784,0.028233,0.010103,73.476200,945.737233,-31.778387,66.523831
hybrid_homo,heft,30,0.000000,108.304533,106.934000,2.058495,0.736623,0.561786,0.559364,0.017217,0.006161,27.097633,2.212833,0.000000,0.000000
hybrid_hetero,beam_time,30,1.000000,137.881267,142.160000,13.294512,4.757380,0.326517,0.268208,0.142370,0.050946,79.883333,852.019600,-20.248192,22.977038
hybrid_hetero,beam_cost,30,1.000000,143.704800,144.527000,15.259405,5.460508,0.187247,0.192796,0.028307,0.010130,73.256467,851.664200,-25.326977,55.829737
hybrid_hetero,heft,30,0.733333,114.663900,112.247000,5.663224,2.026559,0.423921,0.475036,0.115728,0.041413,54.531800,2.676667,0.000000,0.000000
