activity_id,stage,source_machine,source_cores,source_speed_mhz,source_peak_gflops,c3d_reference_gflops,source_speedup_vs_c3d,observed_runtime_seconds,et0_c3d_seconds,avg_cpu_percent
sg1iterdeconid0000871,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.511000,0.687527,60.6654
sg1iterdeconid0000872,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.151000,0.203164,100.0
sg1iterdeconid0000873,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,1.929000,2.260437,72.3691
sg1iterdeconid0000874,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.274000,0.321078,99.635
sg1iterdeconid0000875,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.339000,0.397246,81.4159
sg1iterdeconid0000876,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.125000,0.146477,99.2
sg1iterdeconid0000877,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.103000,0.186898,99.0291
sg1iterdeconid0000878,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.606000,0.710122,66.6667
sg1iterdeconid0000879,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.730000,1.100973,99.863
sg1iterdeconid0000880,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.661000,0.774572,100.0
sg1iterdeconid0000881,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.157000,0.236785,100.0
sg1iterdeconid0000882,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.383000,0.772267,100.0
sg1iterdeconid0000883,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,1.822000,2.135053,26.0154
sg1iterdeconid0000884,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.313000,0.631122,99.6805
sg1iterdeconid0000885,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.106000,0.115636,100.0
sg1iterdeconid0000886,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,1.847000,2.164348,24.3097
sg1iterdeconid0000887,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.179000,0.209755,100.0
sg1iterdeconid0000888,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,2.080000,3.774255,63.7981
sg1iterdeconid0000889,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.288000,0.337484,70.4861
sg1iterdeconid0000890,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,1.950000,2.127273,39.4359
sg1iterdeconid0000891,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.500000,1.008182,82.4
sg1iterdeconid0000892,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.130000,0.262127,100.0
sg1iterdeconid0000893,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.325000,0.655318,100.0
sg1iterdeconid0000894,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.631000,1.272325,71.3154
sg1iterdeconid0000895,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.753000,0.821455,99.8672
sg1iterdeconid0000896,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.484000,0.528000,58.2645
sg1iterdeconid0000897,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.658000,0.885309,69.4529
sg1iterdeconid0000898,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.408000,0.478102,50.7353
sg1iterdeconid0000899,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,1.211000,1.419072,71.4286
sg1iterdeconid0000900,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.223000,0.243273,100.0
sg1iterdeconid0000901,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,1.287000,1.404000,100.0
sg1iterdeconid0000902,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.189000,0.381093,100.0
sg1iterdeconid0000903,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.451000,0.909380,99.7783
sg1iterdeconid0000904,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.334000,0.606058,76.6467
sg1iterdeconid0000905,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.163000,0.245834,100.0
sg1iterdeconid0000906,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.256000,0.516189,77.3438
sg1iterdeconid0000907,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.449000,0.489818,99.7773
sg1iterdeconid0000908,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.430000,0.780255,85.5814
sg1iterdeconid0000909,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.229000,0.415531,99.5633
sg1iterdeconid0000910,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.309000,0.337091,99.6764
sg1iterdeconid0000911,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.452000,0.529662,99.7788
