scenario_id,interference_seed,algorithm,topology_makespan,uprank_makespan,topology_cost,uprank_cost,makespan_gain_uprank_percent,cost_gain_uprank_percent
cloud_hetero,26,prism_cc_time,107.731,107.731,0.7873,0.773083,0.0,1.8057919471611883
cloud_hetero,27,prism_cc_cost,146.781,123.075,0.351645,0.362453,16.15059169783555,-3.0735542948143837
cloud_hetero,27,prism_cc_time,117.169,107.731,0.539415,0.778695,8.055031620991903,-44.35916687522595
cloud_hetero,28,prism_cc_cost,162.281,136.731,0.398062,0.35191,15.744295388862534,11.594173771924982
cloud_hetero,28,prism_cc_time,117.83,114.677,0.584244,0.764049,2.6758889926164744,-30.775669069772217
cloud_hetero,29,prism_cc_cost,163.471,143.518,0.391808,0.358429,12.205834674040045,8.51922370140477
cloud_hetero,29,prism_cc_time,123.187,114.677,0.838685,0.818857,6.908196481771609,2.3641772536768952
cloud_hetero,30,prism_cc_cost,186.596,143.518,0.426595,0.36924,23.086239790777938,13.444836437370338
cloud_hetero,30,prism_cc_time,125.526,114.677,0.587087,0.792997,8.642830967289637,-35.07316632798886
cloud_homo,1,prism_cc_cost,117.054,108.192,0.412472,0.236028,7.570864729099398,42.77720669524235
cloud_homo,1,prism_cc_time,112.064,101.977,0.69974,0.816156,9.001106510565382,-16.63703661359933
cloud_homo,2,prism_cc_cost,121.468,110.456,0.416994,0.240971,9.065762176046366,42.21235797157753
cloud_homo,2,prism_cc_time,101.689,109.73,0.933571,0.645725,-7.907443282950969,30.832791507019824
cloud_homo,3,prism_cc_cost,116.022,113.449,0.253113,0.247499,2.2176828532519757,2.2179816919715623
cloud_homo,3,prism_cc_time,105.998,110.358,0.754982,0.499327,-4.113285156323704,33.86239671939199
cloud_homo,4,prism_cc_cost,149.601,118.681,0.326372,0.258911,20.6683110407016,20.669971688747808
cloud_homo,4,prism_cc_time,105.663,111.328,0.984405,0.974965,-5.3613847799135055,0.9589549016918854
cloud_homo,5,prism_cc_cost,115.519,109.73,0.252011,0.412325,5.011296842943586,-63.61388986988664
cloud_homo,5,prism_cc_time,101.689,106.031,0.819775,0.781693,-4.269881698118787,4.645420999664549
cloud_homo,6,prism_cc_cost,125.655,110.054,0.274132,0.240091,12.415741514464207,12.417740358659328
cloud_homo,6,prism_cc_time,107.584,107.418,0.874528,0.860376,0.15429803688280488,1.6182443558125004
cloud_homo,7,prism_cc_cost,132.184,108.192,0.288374,0.23603,18.150456938812567,18.15142835345767
cloud_homo,7,prism_cc_time,106.154,101.977,0.83128,0.793806,3.934849369783515,4.50798768164758
cloud_homo,8,prism_cc_cost,122.37,117.674,0.520325,0.256716,3.837541881180026,50.66237447749003
cloud_homo,8,prism_cc_time,122.37,100.816,0.520325,0.971762,17.61379423061208,-86.76058232835246
cloud_homo,9,prism_cc_cost,120.926,110.456,0.450604,0.240974,8.658187651952433,46.522001580101374
cloud_homo,9,prism_cc_time,114.812,110.456,0.86704,0.240974,3.7940284987631907,72.20727994094851
cloud_homo,10,prism_cc_cost,118.564,121.53,0.512742,0.265135,-2.5016025100367805,48.290758315098046
cloud_homo,10,prism_cc_time,101.888,109.643,0.999059,0.808885,-7.611298680904517,19.035312228807314
cloud_homo,11,prism_cc_cost,117.83,122.261,0.511133,0.266721,-3.760502418738859,47.81769128582971
cloud_homo,11,prism_cc_time,101.689,109.887,0.985087,0.754108,-8.061835596770553,23.447573666082288
cloud_homo,12,prism_cc_cost,114.793,108.192,0.250437,0.236036,5.7503506311360555,5.750348391012519
cloud_homo,12,prism_cc_time,106.263,101.079,0.747591,0.854669,4.878461929363948,-14.323072375135602
cloud_homo,13,prism_cc_cost,125.655,109.692,0.274126,0.239304,12.703831920735354,12.70291763641537
cloud_homo,13,prism_cc_time,108.094,107.64,0.820872,0.833327,0.42000481062778094,-1.5172889317701168
cloud_homo,14,prism_cc_cost,119.226,112.202,0.464637,0.24478,5.8913324274906484,47.31801384736902
cloud_homo,14,prism_cc_time,101.689,109.257,0.997364,0.804095,-7.442299560424444,19.377980356218995
cloud_homo,15,prism_cc_cost,119.794,112.202,0.454814,0.244778,6.337546120840775,46.18063647996763
cloud_homo,15,prism_cc_time,102.309,109.408,0.853373,0.490913,-6.938783489233599,42.473806881633244
cloud_homo,16,prism_cc_cost,133.957,108.192,0.35218,0.23603,19.233783975454813,32.980294167755126
cloud_homo,16,prism_cc_time,107.776,108.192,0.888319,0.23603,-0.3859857482185244,73.42959004591819
cloud_homo,17,prism_cc_cost,121.326,108.192,0.40092,0.236031,10.825379555907226,41.127656390302306
cloud_homo,17,prism_cc_time,112.075,100.816,0.790337,0.828603,10.045951371849208,-4.841732071255683
cloud_homo,18,prism_cc_cost,117.718,121.53,0.515762,0.26513,-3.2382473368558737,48.59450676862585
cloud_homo,18,prism_cc_time,107.166,109.885,0.932844,0.812609,-2.5371853013082584,12.889078988555427
cloud_homo,19,prism_cc_cost,120.531,112.202,0.462707,0.244778,6.910255452954018,47.09870393142961
cloud_homo,19,prism_cc_time,101.689,100.951,0.898479,0.826993,0.7257422140054476,7.956335095199782
cloud_homo,20,prism_cc_cost,121.53,126.923,0.525896,0.276892,-4.437587426972764,47.348525183686505
cloud_homo,20,prism_cc_time,121.53,112.966,0.525896,0.784532,7.046819715296641,-49.18006602065807
cloud_homo,21,prism_cc_cost,121.53,117.674,0.524853,0.256719,3.1728791244960046,51.08744734239874
cloud_homo,21,prism_cc_time,107.447,106.884,0.831418,0.901034,0.523979264195373,-8.373164882165169
cloud_homo,22,prism_cc_cost,123.055,114.392,0.541928,0.249559,7.039941489577839,53.94978668753045
cloud_homo,22,prism_cc_time,110.301,104.351,0.98502,0.540638,5.394330060470895,45.11400783740432
cloud_homo,23,prism_cc_cost,126.095,114.392,0.411327,0.249555,9.281097585154052,39.3292927524816
cloud_homo,23,prism_cc_time,113.749,101.689,0.587946,1.010025,10.602291009151731,-71.78873570021736
cloud_homo,24,prism_cc_cost,149.751,108.192,0.424644,0.236032,27.752068433599785,44.4164994677895
cloud_homo,24,prism_cc_time,106.558,106.172,0.955295,0.859035,0.3622440361117981,10.076468525429318
cloud_homo,25,prism_cc_cost,113.055,114.392,0.428125,0.249558,-1.182610233956914,41.7090802919708
cloud_homo,25,prism_cc_time,102.098,105.708,1.001219,0.82024,-3.535818527297302,18.075865519931213
cloud_homo,26,prism_cc_cost,108.741,108.192,0.237229,0.236032,0.5048693684994681,0.5045757474844996
cloud_homo,26,prism_cc_time,106.69,100.816,0.829813,0.806768,5.5056706345486885,2.777131715217764
cloud_homo,27,prism_cc_cost,137.154,109.693,0.299217,0.365102,20.022019044285987,-22.01913661322718
cloud_homo,27,prism_cc_time,101.568,100.951,0.797826,0.836673,0.6074747952110945,-4.869106797722807
cloud_homo,28,prism_cc_cost,116.684,118.438,0.525803,0.258388,-1.5032052380789183,50.85840134042598
cloud_homo,28,prism_cc_time,112.301,106.884,0.929777,0.818008,4.823643600680316,12.021054510920361
cloud_homo,29,prism_cc_cost,162.489,125.655,0.455975,0.274127,22.6686114136957,39.881133834091784
cloud_homo,29,prism_cc_time,106.912,112.202,0.853058,0.743092,-4.947994612391492,12.890799922162387
cloud_homo,30,prism_cc_cost,125.526,125.655,0.527929,0.274127,-0.10276755413221556,48.075025240136455
