algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json
prism_cc_cost,real_network_stress_cluster_homo,1,t0|t1|t5|t7,0.000000,60.076000,0.000000,0.000000,90.757200,0.000000,0.000000,true,0.001000,0,21.489000,"{""bora001"":3,""bora002"":4,""bora003"":1}","{""bora001"":0.014022,""bora002"":0.019238,""bora003"":0.004565,""bora004"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":60.076,""deadline_violation"":0,""machine_signature"":""e88deec5f3bf555f"",""weighted_score"":0,""diversity_score"":2.5},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":75.631,""deadline_violation"":0,""machine_signature"":""9a5d8f11aea862ff"",""weighted_score"":0,""diversity_score"":2.625}]"
prism_cc_time,real_network_stress_cluster_homo,1,t0|t1|t5|t7,0.000000,60.076000,0.000000,0.000000,90.757200,0.000000,0.000000,true,0.001000,0,21.489000,"{""bora001"":3,""bora002"":4,""bora003"":1}","{""bora001"":0.014022,""bora002"":0.019238,""bora003"":0.004565,""bora004"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":60.076,""deadline_violation"":0,""machine_signature"":""e88deec5f3bf555f"",""weighted_score"":0.79433,""diversity_score"":2.5},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":75.631,""deadline_violation"":0,""machine_signature"":""9a5d8f11aea862ff"",""weighted_score"":1,""diversity_score"":2.625}]"
heft_colocation,real_network_stress_hybrid_hetero,1,t0|t1|t5|t7,0.000000,61.343000,0.000000,0.000000,73.611600,0.000000,0.000000,true,0.001000,2,0.192000,"{""bora011"":8}","{""bora011"":0.037044,""diablo03"":0,""h3-standard-88-2"":0,""h4d-standard-192-7"":0}",[]
prism_cc_cost,real_network_stress_hybrid_hetero,1,t0|t1|t5|t7,0.000000,61.343000,0.000000,0.000000,73.611600,0.000000,0.000000,true,0.001000,2,50.835000,"{""bora011"":8}","{""bora011"":0.037044,""diablo03"":0,""h3-standard-88-2"":0,""h4d-standard-192-7"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":61.343,""deadline_violation"":0,""machine_signature"":""4e7eacccaaef45ce"",""weighted_score"":0,""diversity_score"":0}]"
prism_cc_time,real_network_stress_hybrid_hetero,1,t0|t1|t5|t7,0.000000,61.343000,0.000000,0.000000,73.611600,0.000000,0.000000,true,0.001000,2,50.835000,"{""bora011"":8}","{""bora011"":0.037044,""diablo03"":0,""h3-standard-88-2"":0,""h4d-standard-192-7"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":61.343,""deadline_violation"":0,""machine_signature"":""4e7eacccaaef45ce"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,real_network_stress_hybrid_homo,1,t0|t1|t5|t7,0.000000,73.822000,0.041372,0.049646,88.586400,0.000000,0.000000,true,0.001000,0,0.232000,"{""bora009"":4,""bora010"":3,""h4d-standard-192-5"":1}","{""bora009"":0.015126,""bora010"":0.009287,""h4d-standard-192-5"":0.000216,""h4d-standard-192-6"":0}",[]
prism_cc_cost,real_network_stress_hybrid_homo,1,t0|t1|t5|t7,0.000000,60.076000,0.000000,0.049646,88.586400,0.000000,0.000000,true,0.001000,0,39.570000,"{""bora009"":4,""bora010"":4}","{""bora009"":0.018587,""bora010"":0.019238,""h4d-standard-192-5"":0,""h4d-standard-192-6"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":60.076,""deadline_violation"":0,""machine_signature"":""6a4a3b8d446ff1a8"",""weighted_score"":0,""diversity_score"":1.5},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.041372,""budget_violation"":0,""makespan"":73.822,""deadline_violation"":0,""machine_signature"":""28e9d5f742af321e"",""weighted_score"":0.041372,""diversity_score"":2.5}]"
prism_cc_time,real_network_stress_hybrid_homo,1,t0|t1|t5|t7,0.000000,60.076000,0.000000,0.049646,88.586400,0.000000,0.000000,true,0.001000,0,39.570000,"{""bora009"":4,""bora010"":4}","{""bora009"":0.018587,""bora010"":0.019238,""h4d-standard-192-5"":0,""h4d-standard-192-6"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":60.076,""deadline_violation"":0,""machine_signature"":""6a4a3b8d446ff1a8"",""weighted_score"":0.813795,""diversity_score"":1.5},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.041372,""budget_violation"":0,""makespan"":73.822,""deadline_violation"":0,""machine_signature"":""28e9d5f742af321e"",""weighted_score"":1,""diversity_score"":2.5}]"
heft_colocation,real_network_stress_hybrid_raspberry_500mbps,1,t0|t1|t5|t7,0.000000,42.978000,0.007759,0.009311,51.573600,0.000000,0.000000,true,0.001000,2,0.216000,"{""hpc-node-02"":8}","{""cloud-node-01"":0,""cloud-node-02"":0,""hpc-node-01"":0,""hpc-node-02"":0.035144,""rpi-edge-01"":0,""rpi-edge-02"":0,""rpi-edge-03"":0,""rpi-edge-04"":0,""rpi-edge-05"":0,""rpi-edge-06"":0,""rpi-edge-07"":0,""rpi-edge-08"":0,""rpi-edge-09"":0,""rpi-edge-10"":0}",[]
prism_cc_cost,real_network_stress_hybrid_raspberry_500mbps,1,t0|t1|t5|t7,0.000000,42.978000,0.007759,0.009311,51.573600,0.000000,0.000000,true,0.001000,2,18.365000,"{""hpc-node-02"":8}","{""cloud-node-01"":0,""cloud-node-02"":0,""hpc-node-01"":0,""hpc-node-02"":0.035144,""rpi-edge-01"":0,""rpi-edge-02"":0,""rpi-edge-03"":0,""rpi-edge-04"":0,""rpi-edge-05"":0,""rpi-edge-06"":0,""rpi-edge-07"":0,""rpi-edge-08"":0,""rpi-edge-09"":0,""rpi-edge-10"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.007759,""budget_violation"":0,""makespan"":42.978,""deadline_violation"":0,""machine_signature"":""9b481bfe1ac3581c"",""weighted_score"":0.007759,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.007759,""budget_violation"":0,""makespan"":42.978,""deadline_violation"":0,""machine_signature"":""bd45d445dd65ec60"",""weighted_score"":0.007759,""diversity_score"":0}]"
prism_cc_time,real_network_stress_hybrid_raspberry_500mbps,1,t0|t1|t5|t7,0.000000,42.978000,0.007759,0.009311,51.573600,0.000000,0.000000,true,0.001000,2,18.365000,"{""hpc-node-02"":8}","{""cloud-node-01"":0,""cloud-node-02"":0,""hpc-node-01"":0,""hpc-node-02"":0.035144,""rpi-edge-01"":0,""rpi-edge-02"":0,""rpi-edge-03"":0,""rpi-edge-04"":0,""rpi-edge-05"":0,""rpi-edge-06"":0,""rpi-edge-07"":0,""rpi-edge-08"":0,""rpi-edge-09"":0,""rpi-edge-10"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.007759,""budget_violation"":0,""makespan"":42.978,""deadline_violation"":0,""machine_signature"":""9b481bfe1ac3581c"",""weighted_score"":1,""diversity_score"":0},{""rank"":2,""recommended"":false,""feasible"":true,""budget_used"":0.007759,""budget_violation"":0,""makespan"":42.978,""deadline_violation"":0,""machine_signature"":""bd45d445dd65ec60"",""weighted_score"":1,""diversity_score"":0}]"
